,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case,6time,diff_temp,dark,water
12,12,11.5,25.389280895833334,79.10070132,568.4749529125,1.4407330055833334,165.58875,3974.13,10649.892199999998,255597.4128,569.4580500000001,13666.9932,0.0,0.0,11219.350250000001,269264.406,9.44717552517705,1.0,2.4583333333333335,0.9166670500000009,9,19
13,13,11.5,25.749999884583332,79.42173618666666,530.9451388875,1.4390336327083333,160.23041666666668,3845.5300000000007,10658.143133333333,255795.43519999998,569.2512,13662.0288,0.0,0.0,11227.394333333337,269457.46400000004,11.2070198973396,1.0,2.4583333333333335,1.3850002900000007,9,19
14,14,11.5,25.576180522083334,80.00590283041667,515.6972222333333,1.4408799994166666,167.89166666666668,4029.4,10648.34515,255560.2836,570.14755,13683.5412,0.0,0.0,11218.4927,269243.8248,14.3993257739001,1.0,2.4583333333333335,1.1433327999999996,9,19
15,15,11.5,25.395802665,80.69034723666667,605.6659722166667,1.45043597825,167.89166666666668,4029.4000000000005,10638.547166666665,255325.132,569.2512,13662.0288,0.0,0.0,11207.798366666668,268987.1608,17.792803392748,1.0,2.4583333333333335,0.5766664499999976,9,19
16,16,11.5,25.375265862916667,80.90430439666666,619.3571798500001,1.442871380625,166.12458333333333,3986.99,10643.317237499998,255439.6137,569.04435,13657.0644,0.0,0.0,11212.361587499998,269096.67809999996,21.6577637240387,1.0,2.4583333333333335,0.8283330600000021,9,18
17,17,11.5,25.48069450708333,81.61062497583333,555.3520833375,1.4334425572916667,167.19625,4012.71,10646.024574999998,255504.5898,569.9407,13678.5768,0.0,0.0,11215.965275,269183.1666,26.520552831132004,1.0,2.4583333333333335,0.7249998099999999,9,19
18,18,11.5,25.44242810791667,82.03580867000001,640.8838629875,1.4267247989166665,165.32083333333333,3967.7,10648.860833333332,255572.66,568.148,13635.552,0.0,0.0,11217.008833333333,269208.21200000006,32.5334545268946,1.0,2.4583333333333335,0.7666662500000001,9,19
19,19,11.5,27.737253183333333,82.63908998458334,594.4152059375,1.429829647,166.66041666666666,3999.85,10635.968749999998,255263.24999999997,568.8375000000001,13652.1,0.0,0.0,11204.80625,268915.35,39.5417147187192,1.0,2.4583333333333335,5.201666100000001,9,19
20,20,11.5,28.121805597916666,82.17861113041667,531.35,1.4331869027916666,171.10666666666668,4106.560000000001,10623.076666666666,254953.83999999997,568.8375000000001,13652.1,0.0,0.0,11191.914166666667,268605.94,47.5384800692857,1.0,2.4583333333333335,2.9916667299999986,9,19
21,21,11.5,27.933872064166668,82.20505994125,519.5319204875,1.451820201625,166.12458333333333,3986.99,10648.860833333332,255572.65999999997,569.527,13668.648,0.0,0.0,11218.387833333334,269241.308,55.840647911231294,1.0,2.4583333333333335,2.77666769,9,18
22,22,11.5,27.518867271666664,83.03627402458334,560.3115900375,1.4907377874583334,168.15958333333333,4035.83,10626.428608333332,255034.2866,568.9754,13655.4096,0.0,0.0,11195.404008333333,268689.6962,65.4975146664984,1.0,2.4583333333333335,3.0066667000000002,9,19
23,23,11.5,27.37263152,83.49332957375,536.2312499999999,1.5491480184166668,159.26708333333332,3822.41,10656.982845833332,255767.5883,569.32015,13663.6836,0.0,0.0,11226.302995833334,269431.2719,74.6938345249564,1.0,2.4583333333333335,3.234999369999997,9,19
24,24,11.5,27.394951581249998,83.56071084375,547.3877707125,1.6157981021249999,165.32083333333333,3967.7,10623.076666666666,254953.84,568.148,13635.552,0.0,0.0,11191.224666666669,268589.392,81.5419579524476,1.0,2.4583333333333335,3.2566657700000015,9,19
25,25,11.5,27.544815477916668,82.78779457,611.4630747166667,1.5451310509166667,163.98125000000002,3935.55,10654.53335,255708.8004,569.6649000000001,13671.9576,0.0,0.0,11224.198250000001,269380.75800000003,82.8472745459845,1.0,2.4583333333333335,3.5416666300000017,9,18
26,26,11.5,28.0347387475,82.37127354083334,805.3798258208334,0.5581212225,171.10666666666668,4106.56,10642.543712499999,255421.0491,569.04435,13657.0644,0.0,0.0,11211.588062499999,269078.1135,82.4824831050573,1.0,2.4583333333333335,3.9833332699999993,9,19
27,27,11.5,28.921944273333335,82.70895832875,573.5055555541667,3.3763499999999996e-05,162.10583333333332,3890.54,10635.968749999998,255263.24999999997,568.8375000000001,13652.1,0.0,0.0,11204.80625,268915.35,82.2516268247695,1.0,2.4583333333333335,4.125000349999997,9,18
0,0,11.5,25.321805466545914,52.52496667501736,671.7423611111109,2.940818079809342,92.55,2221.2,0.0,0.0,2433.1076,58394.5824,2303.2771666666667,55278.652,4736.384766666667,113673.2344,1.05117766026507,2.0,2.4583333333333335,7.323333263397199,24,24
1,1,11.5,23.349791551563516,49.666147392331446,617.6694444444441,3.040906635709872,92.55,2221.2,0.0,0.0,2429.86695,58316.8068,2300.2094375,55205.0265,4730.0763875,113521.8333,1.2204517207189,2.0,2.4583333333333335,6.0613333257071,24,24
2,2,11.5,21.123480066060434,41.453823150306846,617.7569444444441,3.0780407258315905,92.55,2221.2,0.0,0.0,2433.45235,58402.8564,2303.6035208333333,55286.4845,4737.055870833333,113689.3409,1.33302399866082,2.0,2.4583333333333335,13.161166731532,24,24
3,3,11.5,24.81868045859862,50.66045403431397,633.1541666666662,3.1402589754801054,92.55,2221.2,0.0,0.0,2433.03865,58392.9276,2303.2118958333335,55277.0855,4736.2505458333335,113670.01310000001,1.45350550780559,2.0,2.4583333333333335,5.755000336964901,24,24
4,4,11.5,25.969860887527414,55.91750003231795,664.4305555555553,3.1720481632484288,92.55,2221.2,0.0,0.0,2433.31445,58399.5468,2303.4729791666664,55283.3515,4736.787429166667,113682.89830000002,1.6126416503276897,2.0,2.4583333333333335,7.0883336385090985,24,24
5,5,11.5,26.153194228808033,57.77054008602314,645.858333333333,3.2408356936938265,92.55,2221.2,0.0,0.0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,1.8037850697473,2.0,2.4583333333333335,6.901667340596603,24,24
6,6,11.5,25.28652775155169,54.77873635000745,627.7555555555554,3.3114995843834296,92.55,2221.2,0.0,0.0,2433.2455,58397.892,2303.4077083333336,55281.785,4736.653208333333,113679.677,2.28657708352283,2.0,2.4583333333333335,6.6766674041748,24,24
7,7,11.5,26.787083156903524,54.03326383166774,617.4854166666663,3.33192923367023,92.55,2221.2,0.0,0.0,2432.9007500000002,58389.618,2303.0813541666666,55273.9525,4735.982104166666,113663.5705,2.8161673135839096,2.0,2.4583333333333335,5.961666679382301,24,24
8,8,11.5,26.69333326021825,61.87562502755055,598.2562499999998,3.4247102985779403,92.55,2221.2,0.0,0.0,2433.17655,58396.2372,2303.3424375,55280.2185,4736.518987500001,113676.4557,3.4020267490694196,2.0,2.4583333333333335,6.921666812896699,24,24
9,9,11.5,26.927708191341768,62.76805542574984,595.7645833333329,3.4821561800108967,92.55,2221.2,0.0,0.0,2433.31445,58399.5468,2303.4729791666664,55283.351500000004,4736.787429166667,113682.89830000002,4.16890865555352,2.0,2.4583333333333335,7.6633334477742,24,24
10,10,11.5,27.951027723683243,62.67930555343622,630.4187499999997,3.513225950135121,92.55,2221.2,0.0,0.0,2432.9697,58391.2728,2303.146625,55275.519,4736.116325,113666.7918,4.99559433892768,2.0,2.4583333333333335,5.2796669133512,24,24
11,11,11.5,28.213958201143438,60.04763867325247,606.9604166666663,3.5866053692168616,92.55,2221.2,0.0,0.0,2433.1076,58394.5824,2303.2771666666667,55278.652,4736.384766666667,113673.2344,5.81319419469111,2.0,2.4583333333333335,6.6366667111715,24,24
12,12,11.5,26.604374889532682,64.79625001748381,624.0687499999996,3.7347333826952465,92.55,2221.2,0.0,0.0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,7.106296793327819,2.0,2.4583333333333335,6.786666202545202,24,24
13,13,11.5,25.65986105733442,65.16402767499316,635.9694444444441,3.8794491574168166,92.55,2221.2,0.0,0.0,2433.2455,58397.892,2303.4077083333336,55281.785,4736.653208333333,113679.677,8.69622891141414,2.0,2.4583333333333335,5.950000286102302,24,24
14,14,11.5,25.15367362391322,66.67670707008992,620.4361111111108,3.986946180688026,92.55,2221.2,0.0,0.0,2433.2455,58397.892,2303.4077083333336,55281.785,4736.653208333333,113679.677,10.2161600725886,2.0,2.4583333333333335,8.919499947239398,24,24
15,15,11.5,29.233680412769345,68.31812513536899,590.7340277777774,4.026266167726777,92.55,2221.2,0.0,0.0,2433.17655,58396.2372,2303.3424375,55280.2185,4736.518987500001,113676.4557,12.4693941117117,2.0,2.4583333333333335,6.933332665761302,24,24
16,16,11.5,28.37958266834947,72.37774316734719,581.2173611111107,4.260431253247787,92.55,2221.2,0.0,0.0,2433.17655,58396.2372,2303.3424375,55280.2185,4736.518987500001,113676.4557,14.8194184792331,2.0,2.4583333333333335,8.355001004536902,24,24
17,17,11.5,24.94636793706145,77.21972922325064,593.1368055555553,4.614930057227603,92.55,2221.2,0.0,0.0,2432.8318,58387.9632,2302.9508124999998,55270.8195,4735.7826125,113658.7827,17.9702846243061,2.0,2.4583333333333335,5.956666278839201,24,24
18,18,11.5,26.38381942245691,75.55722207493272,617.064583333333,4.770578666196924,92.55,2221.2,0.0,0.0,2433.5213,58404.5112,2303.7340625,55289.6175,4737.2553625,113694.1287,21.657574873806897,2.0,2.4583333333333335,6.878332964579201,24,24
19,19,11.5,27.879930530654008,73.09798605971928,582.0062499999997,4.992004259228659,92.55,2221.2,0.0,0.0,2433.6592,58407.8208,2303.7340625,55289.6175,4737.393262500001,113697.43830000001,26.9089797439284,2.0,2.4583333333333335,6.709999752044702,24,24
20,20,11.5,26.858055420716557,78.47418053997862,575.452083333333,4.890871883365603,92.55,2221.2,0.0,0.0,2433.45235,58402.8564,2303.6035208333333,55286.4845,4737.055870833333,113689.3409,31.1026522411133,2.0,2.4583333333333335,5.363333066304598,24,24
21,21,11.5,26.84444432655965,79.95892385111885,603.8052083333381,2.9825432255165905,92.55,2221.2,0.0,0.0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,33.1008214731279,2.0,2.4583333333333335,5.931666787465399,24,24
22,22,11.5,28.22326378822289,79.94413198100199,583.6527777777774,1.329912671755046,92.55,2221.2,0.0,0.0,2432.76285,58386.3084,2303.0160833333334,55272.386,4735.778933333334,113658.69440000001,41.6172947490675,2.0,2.4583333333333335,6.705000241589701,24,24
23,23,11.5,27.316041609975986,79.4413191662893,560.5979166666664,0.09818541389945983,92.55,2221.2,0.0,0.0,2433.31445,58399.5468,2303.4729791666664,55283.3515,4736.787429166667,113682.8983,48.83608170615279,2.0,2.4583333333333335,4.0933326721191,24,24
24,24,11.5,25.673166521654736,74.63769879326061,560.8900000000059,0.0,92.55,2221.2,0.0,0.0,2433.5902499999997,58406.166,2303.7993333333334,55291.184,4737.389583333334,113697.35,52.80172738178211,2.0,2.4583333333333335,4.4650003433227,24,24
25,25,11.5,25.807152750756956,76.6392710871167,617.4930555555552,0.0,92.55,2221.2,0.0,0.0,2432.48705,58379.6892,2302.689729166667,55264.5535,4735.176779166667,113644.2427,55.3739879880468,2.0,2.4583333333333335,5.025000508626302,24,24
26,26,11.5,25.885138886504652,76.59579888714688,618.9076388888885,0.0,92.55,2221.2,0.0,0.0,2432.48705,58379.6892,2302.689729166667,55264.5535,4735.176779166667,113644.2427,56.7719754505572,2.0,2.4583333333333335,5.025000508626302,24,24
27,27,11.5,25.885138886504652,76.59579888714688,618.9076388888885,0.0,92.55,2221.2,0.0,0.0,2432.48705,58379.6892,2302.689729166667,55264.5535,4735.176779166667,113644.2427,65.5053839144767,2.0,2.4583333333333335,5.025000508626302,24,24
0,0,11.5,17.516329993894047,52.77261646034717,869.3826859698457,1.6966557882164885,53.39458333333334,1281.47,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,0.685390812447863,3.0,2.4583333333333335,8.556666676203498,15,18
1,1,11.5,17.516329993894047,52.77261646034717,869.3826859698457,1.6966557882164885,53.39458333333334,1281.47,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,1.33735303881189,3.0,2.4583333333333335,8.556666676203498,15,18
2,2,11.5,17.36073329190606,53.20366317762432,826.437222222219,1.714184496152659,43.32791666666666,1039.87,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,1.57835987639337,3.0,2.4583333333333335,8.3433335622152,15,16
3,3,11.5,18.15091340244926,51.73374313025391,757.2708342856118,1.7296496201060172,17.995833333333334,431.9,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,1.85188256471435,3.0,2.4583333333333335,8.777188919656298,15,7
4,4,11.5,16.75184802971268,51.081657341413596,556.5522619174453,1.762563139633869,25.708333333333332,617.0,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,1.9680957282898899,3.0,2.4583333333333335,5.126086649687402,15,10
5,5,11.5,16.673318172814636,49.793668671441054,448.02298318736274,1.7787802400195505,30.582083333333333,733.97,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,2.58613427102048,3.0,2.4583333333333335,5.575871025823801,15,12
6,6,11.5,18.541127727524103,47.13805914784604,743.6343142197815,1.76895196651065,35.45583333333334,850.94,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,2.85568826365788,3.0,2.4583333333333335,10.1255852896888,15,13
7,7,11.5,18.303129740784453,46.11775532602808,773.4877032529554,1.7870060951154254,42.09666666666667,1010.32,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,3.47504755541329,3.0,2.4583333333333335,10.943635911652601,15,17
8,8,11.5,18.703888804382697,46.96791665289132,857.3111111111081,1.8021347908510041,46.70249999999999,1120.86,5789.318941666667,138943.6546,581.7311500000001,13961.5476,975.8642291666666,23420.7415,7346.9143208333335,176325.9437,4.07519653207845,3.0,2.4583333333333335,10.536666504542099,15,17
9,9,11.5,18.847251422837427,48.08292063013138,854.6794809941516,1.8151454670274074,37.22291666666667,893.35,8603.918574999998,206494.0458,729.491,17507.784,1246.6076458333334,29918.5835,10580.017220833333,253920.41330000001,4.46614321782041,3.0,2.4583333333333335,11.6883338133494,11,15
10,10,11.5,19.600486052036242,49.5805112078898,868.9187499999995,1.8275503682759051,45.20333333333334,1084.88,8598.761741666665,206370.2818,730.11155,17522.6772,1243.7357291666667,29849.6575,10572.609020833333,253742.6165,5.03873507035506,3.0,2.4583333333333335,12.7999996503194,10,18
11,11,11.5,20.3860289761726,48.3803492389272,635.2402059386969,1.839636460227875,51.30833333333334,1231.4,8613.071954166666,206713.72689999998,731.07685,17545.8444,1244.4537083333332,29866.889,10588.6025125,254126.4603,5.97483305759368,3.0,2.4583333333333335,11.528333346049,10,19
12,12,11.5,20.06291650931036,48.30562486648555,640.5979166666663,1.8676324052115236,48.04208333333333,1153.01,8616.810658333332,206803.4558,729.491,17507.784,1246.7381874999999,29921.7165,10593.039845833333,254232.9563,6.71782171357832,3.0,2.4583333333333335,6.8383330663045,11,19
13,13,11.5,19.637519743896622,52.10113594702332,837.3953373015871,1.9011005230543583,39.52583333333333,948.62,8601.9847625,206447.6343,729.28415,17502.8196,1244.58425,29870.022,10575.853162500001,253820.4759,7.56095171477643,3.0,2.4583333333333335,8.979999923706098,10,16
14,14,11.5,21.58239756320647,54.51026687343214,864.7412646198823,1.911972953130797,48.252916666666664,1158.07,8601.082316666667,206425.9756,729.9047,17517.7128,1243.2788333333333,29838.692,10574.265850000002,253782.38040000002,8.65654294027983,3.0,2.4583333333333335,10.493333339691201,10,17
15,15,11.5,23.077074976245736,50.59708976662535,686.1501530131815,1.925005026829553,37.114583333333336,890.75,8602.758287499999,206466.1989,729.0773,17497.8552,1242.6913958333332,29824.5935,10574.526983333333,253788.64759999997,10.1161795115087,3.0,2.4583333333333335,7.528333346049003,10,15
16,16,11.5,20.603190700352503,54.34964533176811,866.534265351037,1.960126591410196,121.11458333333333,2906.75,8616.294974999999,206791.0794,729.97365,17519.367599999998,1247.0645416666666,29929.549,10593.333166666665,254239.99599999998,11.3346863484218,3.0,2.4583333333333335,9.178333346048998,11,20
17,17,11.5,18.630138819085186,59.66112862030633,683.1061111111602,2.0102978362805253,199.2775,4782.66,8611.653825,206679.6918,729.0083500000001,17496.2004,1245.3675,29888.82,10586.029675,254064.7122,13.1630873509911,3.0,2.4583333333333335,8.3283331712087,11,24
18,18,11.5,17.21960293380508,60.13898347580067,420.4671085858583,2.0731306881275775,198.90708333333293,4773.76999999999,8616.166054166666,206787.9853,729.42205,17506.1292,1244.9758749999999,29879.421,10590.563979166667,254173.5355,14.3707268928921,3.0,2.4583333333333335,5.948333136240601,10,24
19,19,11.5,16.800384479534078,60.639194501771556,402.3138888888886,2.1114540342889323,206.40291666666624,4953.66999999999,8600.824475,206419.7874,729.0773,17497.8552,1243.8662708333334,29852.7905,10573.768045833333,253770.4331,15.7873016268232,3.0,2.4583333333333335,6.232667013799,10,23
20,20,11.5,16.954345709677977,62.15562485088793,396.26820175438564,2.144872775105069,172.33208333333292,4135.96999999999,8586.1275,206067.05999999997,728.0430500000001,17473.0332,1240.7332708333333,29777.5985,10554.903820833333,253317.6917,17.8398731788375,3.0,2.4583333333333335,6.652368801518399,10,24
21,21,11.5,16.795674595946313,64.33768544431578,386.8712301587298,2.185617759305559,187.17583333333334,4492.22,8615.392529166666,206769.4207,730.4562999999999,17530.9512,1244.7800625,29874.7215,10590.628891666667,254175.0934,20.2461426332906,3.0,2.4583333333333335,5.970000012715701,11,24
22,22,11.5,16.966198172643306,64.65060869595358,450.8644891713744,2.222825411216085,220.54541666666668,5293.09,8614.232241666667,206741.5738,728.9394000000001,17494.5456,1244.8453333333334,29876.288,10588.016975,254112.40740000003,23.0647931967451,3.0,2.4583333333333335,7.9800000349681,11,24
23,23,11.5,18.056198799958647,65.25309533228983,673.6208949722288,2.2548360124439393,180.05041666666668,4321.21,8610.622458333333,206654.939,729.6289,17511.0936,1246.15075,29907.618,10586.402108333334,254073.65059999996,26.892543925477053,3.0,2.4583333333333335,10.2566667556763,11,24
24,24,11.5,17.82472692223339,66.92884896937424,630.5971982758616,2.3143223413162706,178.65374999999997,4287.69,8600.695554166667,206416.6933,729.55995,17509.4388,1245.9549375,29902.9185,10576.210441666668,253829.05060000002,30.720294654209,3.0,2.4583333333333335,9.511666154861398,10,22
25,25,11.5,16.99417027845015,67.92108496569378,455.5333333333329,2.383187591750715,194.46083333333334,4667.06,8600.566633333334,206413.5992,730.2494499999999,17525.9868,1243.6704583333335,29848.091000000004,10574.486541666667,253787.67700000003,35.2716306152083,3.0,2.4583333333333335,7.995000076293902,10,24
26,26,11.5,18.197908352682997,69.58203383675114,519.1125353107342,2.4319925248342424,193.12125,4634.91,8614.747924999998,206753.9502,731.4216,17554.1184,1246.15075,29907.618,10592.320275,254215.6866,39.8473296002481,3.0,2.4583333333333335,9.529999542236299,10,24
27,27,11.5,20.560460306608125,70.90797549364827,820.5446271928973,2.4914026822001567,204.36791666666667,4904.83,8614.876845833334,206757.0443,731.4216,17554.1184,1246.0854791666668,29906.0515,10592.383925,254217.21420000002,44.324890885341496,3.0,2.4583333333333335,10.485000197092699,10,24
0,0,11.5,18.171596605008038,49.069297312112894,583.2638783940256,0.8828625635760865,294.96458333333334,7079.15,8066.318699999999,193591.6488,680.9502000000001,16342.8048,1144.32825,27463.878,9891.59715,237398.3316,1.65691746966644,4.0,2.4583333333333335,20.56061400196003,10,6
1,1,11.5,20.89132070075267,56.51458651024347,613.2743055555553,1.519835439480822,927.5437499999999,22261.05,8614.876845833332,206757.0443,730.9389500000001,17542.5348,1244.9106041666666,29877.8545,10590.7264,254177.4336,1.92378117879009,4.0,2.4583333333333335,11.226249829928001,10,17
2,2,11.5,21.019760758854094,59.67144309181585,549.0784722222219,1.5282212157117092,883.4970833333291,21203.9299999999,8616.037133333333,206784.8912,729.55995,17509.4388,1246.8687291666668,29924.8495,10592.4658125,254219.17950000003,2.32279267026188,4.0,2.4583333333333335,11.158158064698899,10,17
3,3,11.5,21.2068054914474,61.482793024170654,547.8256944444441,1.5364572187350574,822.1441666666666,19731.46,8614.3611625,206744.66789999997,730.11155,17522.6772,1246.3465625000001,29912.3175,10590.819275,254179.6626,2.78164394561272,4.0,2.4583333333333335,10.0149996757508,10,17
4,4,11.5,21.92006933424204,64.35598989764657,532.8715277777774,1.5311237118497383,857.2470833333333,20573.93,8614.3611625,206744.6679,730.80105,17539.2252,1245.8243958333292,29899.7854999999,10590.98660833333,254183.6785999999,3.6805139213019706,4.0,2.4583333333333335,9.5683338801066,10,17
5,5,11.5,22.379305447472422,67.84174015587314,536.6243055555552,1.5262052083402837,947.9054166666666,22749.73,8615.005766666665,206760.1384,729.28415,17502.8196,1244.9106041666666,29877.8545,10589.200520833334,254140.8125,5.16724788765544,4.0,2.4583333333333335,9.1383335749309,10,17
6,6,11.5,21.830834779783725,68.25042879966679,542.9114969135799,1.5595136082154708,888.1599999999958,21315.8399999999,8616.423895833332,206794.17349999998,729.9047,17517.7128,1246.8687291666668,29924.8495,10593.197325000003,254236.73580000002,6.22172344734395,4.0,2.4583333333333335,8.749999936421801,11,17
7,7,11.5,21.062573417728597,67.81472595085306,558.0236111111109,1.58231905491783,830.23875,19925.73,8610.493537499999,206651.8449,730.66315,17535.9156,1245.3675,29888.82,10586.524187500001,254076.5805,7.52757507813099,4.0,2.4583333333333335,10.246764899226001,10,16
8,8,11.5,20.62582329861746,64.84483247300548,558.399305555554,1.5987627049626372,803.3387499999958,19280.1299999999,8563.824195833333,205531.7807,726.8709,17444.9016,1236.2295833333333,29669.51,10526.924679166668,252646.19230000002,8.9466006078713,4.0,2.4583333333333335,10.130000050862602,10,17
9,9,11.5,20.52034713162311,64.2232043457147,538.2902777777774,1.6065139961135,961.0333333333333,23064.8,8616.6817375,206800.3617,730.0426000000001,17521.0224,1246.4771041666665,29915.4505,10593.201441666668,254236.83460000003,10.5909912289216,4.0,2.4583333333333335,10.168333117167098,11,17
10,10,11.5,20.56635420841598,61.87368563167485,536.4946495305803,1.6127686568235975,762.4045833333333,18297.71,7701.214899999999,184829.1576,680.6744,16336.1856,1160.0585208333334,27841.4045,9541.947820833333,229006.7477,12.1994933589421,4.0,2.4583333333333335,12.3606913626077,11,15
11,11,11.5,20.52898421458404,64.0710500196884,534.0013888888885,1.6269793699025925,657.4383333333334,15778.52,8606.625912499998,206559.02189999996,729.3530999999999,17504.4744,1244.9106041666666,29877.8545,10580.889616666667,253941.35080000001,14.2759933752116,4.0,2.4583333333333335,11.1654903037583,10,16
12,12,11.5,20.638257139675645,63.69196215970204,550.2342303240738,1.6375428805780237,897.4858333333333,21539.66,8073.022583333332,193752.542,683.1565999999999,16395.7584,1146.4169166666668,27514.006000000005,9902.596099999999,237662.30639999997,17.1607859821039,4.0,2.4583333333333335,11.469544922221797,10,16
13,13,11.5,20.638013644212972,66.44656783537039,563.6578580819383,1.65393426141189,788.0674999999959,18913.6199999999,8381.272295833332,201150.5351,710.9434500000001,17062.6428,1202.615104166667,28862.7625,10294.83085,247075.94040000002,22.0659473422598,4.0,2.4583333333333335,10.818332799275698,10,17
14,14,11.5,20.740694346692774,68.71535527802682,555.077083333333,1.658403616530608,734.0054166666624,17616.1299999999,8616.6817375,206800.3617,728.8015,17491.235999999997,1245.4327708333333,29890.3865,10590.916008333334,254181.9842,26.8157692812064,4.0,2.4583333333333335,10.2216664632161,11,17
15,15,11.5,21.3131248844994,70.39581223665022,515.4888888888885,1.6481927283076916,908.0941666666666,21794.26,8587.803470833334,206107.2833,727.90515,17469.7236,1242.0386874999958,29808.9284999999,10557.74730833333,253385.93539999993,32.842703098219,4.0,2.4583333333333335,10.113332780202303,10,17
