,DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case
14,14,25.30083329,77.9091671275,491.5,1.43808812825,124.3925,4029.4,0.0,255560.2836,0.0,13683.5412,0.0,0.0,0.0,269243.8248,14.3993257739001,1.0
15,15,25.258982975000002,78.6099999075,586.1333333,1.4485131545,124.3925,4029.4000000000005,0.0,255325.132,0.0,13662.0288,0.0,0.0,0.0,268987.1608,17.792803392748,1.0
16,16,25.20201263,79.09416644000001,587.57224575,1.438506443,89.6774999999998,3986.99,0.0,255439.6137,0.0,13657.0644,0.0,0.0,0.0,269096.67809999996,21.6577637240387,1.0
17,17,25.2537499075,79.93166704000001,514.879166675,1.4300959795,126.0,4012.71,0.0,255504.5898,0.0,13678.5768,0.0,0.0,0.0,269183.1666,26.520552831132,1.0
18,18,25.207916502499998,80.36583404250001,582.52083335,1.41971500175,126.0,3967.7,0.0,255572.66,0.0,13635.552,0.0,0.0,0.0,269208.21200000006,32.5334545268946,1.0
19,19,25.43499992,81.9675000175,570.5583333,1.423274411,126.0,3999.85,0.0,255263.24999999997,0.0,13652.1,0.0,0.0,0.0,268915.35,39.5417147187192,1.0
20,20,26.857082837500002,81.67875064500001,504.9416667,1.4309839767499999,119.57000000000046,4106.560000000001,0.0,254953.83999999997,0.0,13652.1,0.0,0.0,0.0,268605.94,47.5384800692857,1.0
21,21,26.5941670275,81.725833225,489.112499975,1.445559247,89.6774999999998,3986.99,0.0,255572.65999999997,0.0,13668.648,0.0,0.0,0.0,269241.308,55.8406479112313,1.0
22,22,26.13375034,82.6416666675,543.562499975,1.4773994275,113.14,4035.83,0.0,255034.2866,0.0,13655.4096,0.0,0.0,0.0,268689.6962,65.4975146664984,1.0
23,23,25.9158330075,83.045416455,528.525000025,1.53669107425,119.57,3822.41,0.0,255767.5883,0.0,13663.6836,0.0,0.0,0.0,269431.2719,74.6938345249564,1.0
24,24,26.0062500225,83.1816665325,537.654166675,1.602129192,126.0,3967.7,0.0,254953.84,0.0,13635.552,0.0,0.0,0.0,268589.392,81.5419579524476,1.0
25,25,26.28666633,82.526249855,566.62083335,1.3888227347500002,89.6775,3935.55,0.0,255708.8004,0.0,13671.9576,0.0,0.0,0.0,269380.75800000003,82.8472745459845,1.0
26,26,26.8966667475,81.974166775,667.7666667,0.13539988975,126.0,4106.56,0.0,255421.0491,0.0,13657.0644,0.0,0.0,0.0,269078.1135,82.4824831050573,1.0
27,27,27.6558329725,82.4483334825,505.8125,0.0,89.6775,3890.54,0.0,255263.24999999997,0.0,13652.1,0.0,0.0,0.0,268915.35,82.2516268247695,1.0
0,0,23.21416633129115,45.190000057220445,626.7458333333333,2.9069845865170074,61.69999999999997,2221.2,0.0,0.0,0.0,58394.5824,0.0,55278.652,0.0,113673.2344,1.05117766026507,2.0
1,1,20.849999904632526,40.90131653276905,607.6333333333332,3.018649741709235,61.69999999999997,2221.2,0.0,0.0,0.0,58316.8068,0.0,55205.0265,0.0,113521.8333,1.2204517207189,2.0
2,2,19.846208270386924,33.434140956463274,605.1666666666663,3.0774776210387476,61.69999999999997,2221.2,0.0,0.0,0.0,58402.8564,0.0,55286.4845,0.0,113689.3409,1.33302399866082,2.0
3,3,22.578749942779524,41.97941425490688,617.6208333333327,3.12146222876816,61.69999999999997,2221.2,0.0,0.0,0.0,58392.9276,0.0,55277.0855,0.0,113670.01310000001,1.45350550780559,2.0
4,4,23.371249914169226,47.313333511352525,629.0791666666663,3.1419868499040575,61.69999999999997,2221.2,0.0,0.0,0.0,58399.5468,0.0,55283.3515,0.0,113682.89830000002,1.61264165032769,2.0
5,5,25.3379160483678,49.58499925931292,627.7458333333329,3.22470967173576,61.69999999999997,2221.2,0.0,0.0,0.0,58401.2016,0.0,55284.918,0.0,113686.1196,1.8037850697473,2.0
6,6,22.740833195050477,46.6737498760223,613.3416666666662,3.293538290262215,61.69999999999997,2221.2,0.0,0.0,0.0,58397.892,0.0,55281.785,0.0,113679.677,2.28657708352283,2.0
7,7,25.319166572888623,44.904999812444004,611.4083333333331,3.3176863451798675,61.69999999999997,2221.2,0.0,0.0,0.0,58389.618,0.0,55273.9525,0.0,113663.5705,2.81616731358391,2.0
8,8,24.930000003178876,55.569166453679344,582.95,3.4000604550043674,61.69999999999997,2221.2,0.0,0.0,0.0,58396.2372,0.0,55280.2185,0.0,113676.4557,3.40202674906942,2.0
9,9,23.937083323796525,55.886249891916876,580.591666666666,3.441027197241775,61.69999999999997,2221.2,0.0,0.0,0.0,58399.5468,0.0,55283.351500000004,0.0,113682.89830000002,4.16890865555352,2.0
10,10,26.1658335049947,55.638333336512204,609.8,3.47743615309397,61.69999999999997,2221.2,0.0,0.0,0.0,58391.2728,0.0,55275.519,0.0,113666.7918,4.99559433892768,2.0
11,11,26.427916407585126,52.493332878748504,588.0124999999997,3.549654112259545,61.69999999999997,2221.2,0.0,0.0,0.0,58394.5824,0.0,55278.652,0.0,113673.2344,5.81319419469111,2.0
12,12,24.561666568120298,58.75708319346105,609.091666666666,3.686057059963537,61.69999999999997,2221.2,0.0,0.0,0.0,58401.2016,0.0,55284.918,0.0,113686.1196,7.10629679332782,2.0
13,13,23.6525001128514,59.47916642824805,615.1333333333328,3.8383059918880447,61.69999999999997,2221.2,0.0,0.0,0.0,58397.892,0.0,55281.785,0.0,113679.677,8.69622891141414,2.0
14,14,23.63541718324025,63.6662502288818,606.2916666666665,3.9776823103427823,61.69999999999997,2221.2,0.0,0.0,0.0,58397.892,0.0,55281.785,0.0,113679.677,10.2161600725886,2.0
15,15,26.384582893053626,67.1312503814697,557.6749999999995,3.97782306273778,61.69999999999997,2221.2,0.0,0.0,0.0,58396.2372,0.0,55280.2185,0.0,113676.4557,12.4693941117117,2.0
16,16,26.556250166892976,70.9204160372416,548.283333333333,4.21201773881912,61.69999999999997,2221.2,0.0,0.0,0.0,58396.2372,0.0,55280.2185,0.0,113676.4557,14.8194184792331,2.0
17,17,23.795416371027574,76.38104149500427,557.9166666666661,4.54621879657109,61.69999999999997,2221.2,0.0,0.0,0.0,58387.9632,0.0,55270.8195,0.0,113658.7827,17.9702846243061,2.0
18,18,24.67624992529545,74.07583268483475,594.0749999999995,4.7087400039037,61.69999999999997,2221.2,0.0,0.0,0.0,58404.5112,0.0,55289.6175,0.0,113694.1287,21.6575748738069,2.0
19,19,25.946249834696424,72.2933342933654,528.8583333333327,4.9220046003659546,61.69999999999997,2221.2,0.0,0.0,0.0,58407.8208,0.0,55289.6175,0.0,113697.43830000001,26.9089797439284,2.0
20,20,25.860833271344475,77.0560000165278,520.6916666666663,4.430751381317165,61.69999999999997,2221.2,0.0,0.0,0.0,58402.8564,0.0,55286.4845,0.0,113689.3409,31.1026522411133,2.0
21,21,24.831249713897627,78.7254158020019,566.8249999999997,1.8599186798446,61.69999999999997,2221.2,0.0,0.0,0.0,58401.2016,0.0,55284.918,0.0,113686.1196,33.1008214731279,2.0
22,22,25.29791658719375,78.93666645685825,524.8458333333331,0.5292695062606065,61.69999999999997,2221.2,0.0,0.0,0.0,58386.3084,0.0,55272.386,0.0,113658.69440000001,41.6172947490675,2.0
23,23,26.98249988555905,78.79333407084142,512.8166666666665,0.0,61.69999999999997,2221.2,0.0,0.0,0.0,58399.5468,0.0,55283.3515,0.0,113682.8983,48.8360817061528,2.0
24,24,24.80416628519685,77.29833377202351,502.76249999999976,0.0,61.69999999999997,2221.2,0.0,0.0,0.0,58406.166,0.0,55291.184,0.0,113697.35,52.8017273817821,2.0
25,25,23.743333347638398,75.95916728973387,590.3791666666665,0.0,61.69999999999997,2221.2,0.0,0.0,0.0,58379.6892,0.0,55264.5535,0.0,113644.2427,55.3739879880468,2.0
26,26,25.137083641688,75.95916728973387,590.3791666666665,0.0,61.69999999999997,2221.2,0.0,0.0,0.0,58379.6892,0.0,55264.5535,0.0,113644.2427,56.7719754505572,2.0
27,27,25.137083641688,75.95916728973387,590.3791666666665,0.0,61.69999999999997,2221.2,0.0,0.0,0.0,58379.6892,0.0,55264.5535,0.0,113644.2427,65.5053839144767,2.0
0,0,14.4391666412353,43.54666709107495,524.1958333333333,1.682352889577545,41.45250000000003,1281.47,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,0.685390812447863,3.0
1,1,14.4391666412353,43.54666709107495,524.1958333333333,1.682352889577545,41.45250000000003,1281.47,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,1.33735303881189,3.0
2,2,14.45874999761575,43.7304162184397,597.9541666666662,1.6975274814800725,0.0,1039.87,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,1.57835987639337,3.0
3,3,14.326730770331125,45.4455880557789,565.89217032967,1.7105845166604974,0.0,431.9,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,1.85188256471435,3.0
4,4,15.131903723563976,44.842708418766605,494.06168831168753,1.75781678879598,0.0,617.0,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,1.96809572828989,3.0
5,5,15.221351325511876,43.51162443374717,423.0328124999995,1.774325725260895,0.0,733.97,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,2.58613427102048,3.0
6,6,14.308062879599051,41.89172315516985,424.3216911764705,1.7474756146019126,0.0,850.94,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,2.85568826365788,3.0
7,7,14.750416707992475,37.72833310763035,498.74347826086955,1.7596060976385974,0.0,1010.32,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,3.47504755541329,3.0
8,8,14.7520833690961,39.26250017484023,607.570833333333,1.7772363677620826,0.0,1120.86,0.0,138943.6546,0.0,13961.5476,0.0,23420.7415,0.0,176325.9437,4.07519653207845,3.0
9,9,15.0208333730697,39.12791635195408,570.9208333333328,1.7818730617562877,0.0,893.35,0.0,206494.0458,0.0,17507.784,0.0,29918.5835,0.0,253920.41330000001,4.46614321782041,3.0
10,10,15.170833444595324,41.3262499491373,635.283333333333,1.7915297145644775,26.985000000000014,1084.88,0.0,206370.2818,0.0,17522.6772,0.0,29849.6575,0.0,253742.6165,5.03873507035506,3.0
11,11,16.1566261827841,40.20041658083593,590.2916666666663,1.805310638248915,61.699999999999015,1231.4,0.0,206713.72689999998,0.0,17545.8444,0.0,29866.889,0.0,254126.4603,5.97483305759368,3.0
12,12,17.994583304723076,41.3241665522257,628.620833333333,1.8458577210704425,53.6624999999999,1153.01,0.0,206803.4558,0.0,17507.784,0.0,29921.7165,0.0,254232.9563,6.71782171357832,3.0
13,13,16.394999639193124,45.202500295639,493.0,1.8722697978218374,0.0,948.62,0.0,206447.6343,0.0,17502.8196,0.0,29870.022,0.0,253820.4759,7.56095171477643,3.0
14,14,17.65438605316895,47.7495832920074,633.0041666666665,1.8850883846481599,0.0,1158.07,0.0,206425.9756,0.0,17517.7128,0.0,29838.692,0.0,253782.38040000002,8.65654294027983,3.0
15,15,21.896666693687422,42.911666568120275,528.7958333333327,1.909359096521035,0.0,890.75,0.0,206466.1989,0.0,17497.8552,0.0,29824.5935,0.0,253788.64759999997,10.1161795115087,3.0
16,16,17.66874996821085,47.59541676839188,594.0666666666663,1.9265894884864425,61.69999999999902,2906.75,0.0,206791.0794,0.0,17519.367599999998,0.0,29929.549,0.0,254239.99599999998,11.3346863484218,3.0
17,17,16.14750003814695,54.23343765735457,531.6041666666663,1.994944263001275,126.0,4782.66,0.0,206679.6918,0.0,17496.2004,0.0,29888.82,0.0,254064.7122,13.1630873509911,3.0
18,18,15.132500167687699,54.8262501239776,405.14166666666625,2.063886411984755,126.0,4773.76999999999,0.0,206787.9853,0.0,17506.1292,0.0,29879.421,0.0,254173.5355,14.3707268928921,3.0
19,19,14.504999979336976,55.79041687647498,399.32083333333276,2.10334909528494,126.0,4953.66999999999,0.0,206419.7874,0.0,17497.8552,0.0,29852.7905,0.0,253770.4331,15.7873016268232,3.0
20,20,14.586666671435001,58.29854157765895,391.441666666666,2.1342578972379527,124.3924999999993,4135.96999999999,0.0,206067.05999999997,0.0,17473.0332,0.0,29777.5985,0.0,253317.6917,17.8398731788375,3.0
21,21,14.57630963609325,61.9584168497657,373.4375,2.176165490035525,126.0,4492.22,0.0,206769.4207,0.0,17530.9512,0.0,29874.7215,0.0,254175.0934,20.2461426332906,3.0
22,22,14.085416702429374,62.23267725327227,403.8791666666665,2.218128674725805,126.0,5293.09,0.0,206741.5738,0.0,17494.5456,0.0,29876.288,0.0,254112.40740000003,23.0647931967451,3.0
23,23,14.455416727066025,63.3609810426605,421.13749999999976,2.231865476568535,126.0,4321.21,0.0,206654.939,0.0,17511.0936,0.0,29907.618,0.0,254073.65059999996,26.89254392547705,3.0
24,24,14.302112064279326,65.46238921595862,509.63749999999953,2.29359637498855,125.99999999999989,4287.69,0.0,206416.6933,0.0,17509.4388,0.0,29902.9185,0.0,253829.05060000002,30.720294654209,3.0
25,25,14.07333333492275,66.4233330726623,425.1374999999995,2.375152995189027,126.0,4667.06,0.0,206413.5992,0.0,17525.9868,0.0,29848.091000000004,0.0,253787.67700000003,35.2716306152083,3.0
26,26,14.376250048478425,68.31278104058646,488.7875,2.4161292046308476,126.0,4634.91,0.0,206753.9502,0.0,17554.1184,0.0,29907.618,0.0,254215.6866,39.8473296002481,3.0
27,27,17.816665967305426,69.55750033060707,444.2969298245607,2.4530852586030902,148.16249999999923,4904.83,0.0,206757.0443,0.0,17554.1184,0.0,29906.0515,0.0,254217.21420000002,44.3248908853415,3.0
0,0,16.329166618982903,41.28846802140953,560.2156779661012,0.00498095826672695,0.0,7079.15,0.0,193591.6488,0.0,16342.8048,0.0,27463.878,0.0,237398.3316,1.65691746966644,4.0
1,1,16.630416576067525,50.11172601500205,571.3208333333332,1.513813552260395,0.0,22261.05,0.0,206757.0443,0.0,17542.5348,0.0,29877.8545,0.0,254177.4336,1.92378117879009,4.0
2,2,17.481250095367376,55.2220000219298,532.2499999999995,1.525744305257545,0.0,21203.9299999999,0.0,206784.8912,0.0,17509.4388,0.0,29924.8495,0.0,254219.17950000003,2.32279267026188,4.0
3,3,17.689999977747576,58.136756245802026,533.4041666666662,1.5337805226940024,0.0,19731.46,0.0,206744.66789999997,0.0,17522.6772,0.0,29912.3175,0.0,254179.6626,2.78164394561272,4.0
4,4,18.343749721844976,60.70500947403387,509.8083333333327,1.52207849274074,0.0,20573.93,0.0,206744.6679,0.0,17539.2252,0.0,29899.7854999999,0.0,254183.6785999999,3.68051392130197,4.0
5,5,19.046249890327424,64.89769574162503,512.5833333333333,1.5097208514431875,0.0,22749.73,0.0,206760.1384,0.0,17502.8196,0.0,29877.8545,0.0,254140.8125,5.16724788765544,4.0
6,6,19.2766662518183,66.2143339899875,513.9166666666661,1.5508066719273625,0.0,21315.8399999999,0.0,206794.17349999998,0.0,17517.7128,0.0,29924.8495,0.0,254236.73580000002,6.22172344734395,4.0
7,7,17.880832966168647,65.81404160232228,537.4624999999995,1.5756945795814201,0.0,19925.73,0.0,206651.8449,0.0,17535.9156,0.0,29888.82,0.0,254076.5805,7.52757507813099,4.0
8,8,17.302916407585098,61.20227806823812,534.4583333333333,1.5937957281867599,0.0,19280.1299999999,0.0,205531.7807,0.0,17444.9016,0.0,29669.51,0.0,252646.19230000002,8.9466006078713,4.0
9,9,17.007916696866275,59.4205828023861,516.1291666666665,1.6028149450818676,0.0,23064.8,0.0,206800.3617,0.0,17521.0224,0.0,29915.4505,0.0,254236.83460000003,10.5909912289216,4.0
10,10,16.644583288828475,57.74779159705307,502.53333333333273,1.60596776475324,0.0,18297.71,0.0,184829.1576,0.0,16336.1856,0.0,27841.4045,0.0,229006.7477,12.1994933589421,4.0
11,11,16.79874971707655,60.48208327293395,511.708333333333,1.624584401668035,0.0,15778.52,0.0,206559.02189999996,0.0,17504.4744,0.0,29877.8545,0.0,253941.35080000001,14.2759933752116,4.0
12,12,16.696666534741652,61.07916666666662,534.8291666666665,1.63311392682495,0.0,21539.66,0.0,193752.542,0.0,16395.7584,0.0,27514.006000000005,0.0,237662.30639999997,17.1607859821039,4.0
13,13,16.75833317438755,64.05500008268278,528.2533805031445,1.6491003116068077,0.0,18913.6199999999,0.0,201150.5351,0.0,17062.6428,0.0,28862.7625,0.0,247075.94040000002,22.0659473422598,4.0
14,14,17.237916596730475,66.92379302551602,504.51249999999976,1.65951066265503,0.0,17616.1299999999,0.0,206800.3617,0.0,17491.235999999997,0.0,29890.3865,0.0,254181.9842,26.8157692812064,4.0
15,15,17.5470833222071,69.72916676203408,467.491666666666,1.6355301941434475,0.0,21794.26,0.0,206107.2833,0.0,17469.7236,0.0,29808.9284999999,0.0,253385.93539999993,32.842703098219,4.0
16,16,18.397083250681526,71.21291608810422,459.4125,1.631735784312085,0.0,21864.9899999999,0.0,206766.3266,0.0,17539.2252,0.0,29896.6525,0.0,254202.2043,37.7945396906408,4.0
17,17,18.80999983946475,71.33000001907348,445.0541666666663,1.55564774374167,0.0,21165.350000000002,0.0,206766.3266,0.0,17477.9976,0.0,29884.1205,0.0,254128.4447,42.3640259928777,4.0
18,18,19.86249964237205,71.87749958038327,442.87410714285676,1.50765289366245,0.0,18649.99,0.0,206750.8561,0.0,17519.3676,0.0,29918.5835,0.0,254188.8072,51.5324531988001,4.0
19,19,19.446666479110675,73.23874972661335,437.3208333333332,1.4428632448116925,0.0,20846.45,0.0,206698.2564,0.0,17559.0828,0.0,29918.5835,0.0,254175.92270000002,59.3210078462255,4.0
20,20,18.74166664282475,72.49833310445146,434.770833333333,1.3890223418672825,0.0,18800.4799999999,0.0,206719.9151,0.0,17540.88,0.0,29860.623,0.0,254121.4181,72.0902507975086,4.0
21,21,17.852083230018575,72.53499972025551,447.089999999913,1.34026900033156,0.0,19078.1999999999,0.0,206806.5499,0.0,17507.784,0.0,29874.7215,0.0,254189.0554,79.7703045327736,4.0
22,22,18.864166204134598,73.69500001271561,401.32916666666597,1.2742145672440448,0.0,17692.06,0.0,206803.4558,0.0,17514.4032,0.0,29913.884,0.0,254231.74300000002,85.1954991788455,4.0
23,23,17.63875047365815,74.54362028056175,397.002542372881,1.2007159725859224,0.0,23419.6799999999,0.0,206128.942,0.0,17479.6524,0.0,29779.165,0.0,253387.7594,95.5441185402811,4.0
24,24,17.031589103553202,74.22375001907342,392.629166667097,1.1492099283422275,0.0,21322.27,0.0,206512.6104,0.0,17497.8552,0.0,29866.889000000003,0.0,253877.3546,106.873697559319,4.0
25,25,16.978749918937627,74.7095833142598,397.52499999995274,1.11408584786923,0.0,20728.1099999999,0.0,206837.4909,0.0,17535.9156,0.0,29935.814999999995,0.0,254309.2215,115.539523920872,4.0
26,26,17.358332856496148,74.24083280563352,414.64499999998696,1.1087828843314849,0.0,19866.4899999999,0.0,206750.8561,0.0,17511.0936,0.0,29920.150000000005,0.0,254182.0997,123.224553151068,4.0
27,27,16.930833292007424,74.52191705383977,420.059583334252,1.1165472251576452,0.0,23921.2199999999,0.0,206438.352,0.0,17519.3676,0.0,29846.5245,0.0,253804.2441,128.563771583643,4.0
0,0,22.3105931825,73.75041666,453.91722675,1.9917891349999999,126.0,4158.0,0.0,189977.74,0.0,0.0,0.0,0.0,0.0,189977.74,4.22307736445887,5.0
1,1,22.3105931825,74.6973489575,454.451977375,0.0,126.0,4158.0,0.0,104271.17,0.0,0.0,0.0,0.0,0.0,104271.17,4.99170885282367,5.0
2,2,22.6933259125,73.676885415,455.39583335,1.91653286075,126.0,4158.0,0.0,123454.59,0.0,0.0,0.0,0.0,0.0,123454.59,4.96608376034272,5.0
3,3,22.712989782500003,74.2308333725,453.362500025,1.9258786195000002,126.0,4158.0,0.0,158108.51,0.0,0.0,0.0,0.0,0.0,158108.51,5.00515461935471,5.0
4,4,22.4863158375,71.9462501825,434.62874295,1.936742016,126.0,4158.0,0.0,254025.61,0.0,0.0,0.0,0.0,0.0,254025.61,6.07926069705402,5.0
5,5,22.4938157625,71.3504313225,442.07394065,1.95882099325,126.0,4158.0,0.0,254186.5032,0.0,0.0,0.0,0.0,0.0,254186.5032,7.38574910614654,5.0
6,6,22.19832653,71.782083355,445.9041667,1.9707433822499998,126.0,4158.0,0.0,155323.82,0.0,0.0,0.0,0.0,0.0,155323.82,9.32644411194854,5.0
7,7,22.24083325,70.6693855825,439.97499999999997,1.9917891349999999,126.0,4158.0,0.0,254523.7601,0.0,0.0,0.0,0.0,0.0,254523.7601,9.38282688351177,5.0
8,8,22.6400430425,73.58125041,434.9791667,2.00341522925,126.0,4158.0,0.0,31869.23,0.0,0.0,0.0,0.0,0.0,31869.23,12.1622153900388,5.0
9,9,22.41333331,71.00958331749999,440.215466075,2.0114869695,0.0,13073.0,0.0,31869.23,0.0,0.0,0.0,0.0,0.0,31869.23,13.0611371966911,5.0
10,10,22.6604165625,73.58125041,434.9791667,1.41382143,0.0,13073.0,0.0,255872.7877,0.0,0.0,0.0,0.0,0.0,255872.7877,15.4487335243785,5.0
11,11,22.497083325000002,71.1108328825,421.1083333,1.3963688517500001,0.0,13073.0,0.0,255578.8482,0.0,0.0,0.0,0.0,0.0,255578.8482,18.7189202394876,5.0
12,12,22.3424999675,74.86625004000001,424.39166665,1.1674003852500001,0.0,13073.0,0.0,255263.24999999997,0.0,0.0,0.0,0.0,0.0,255263.24999999997,23.0382990748517,5.0
13,13,22.977500345,76.4033332225,432.26666665,1.948696434,0.0,13073.0,0.0,256191.48,0.0,0.0,0.0,0.0,0.0,256191.48,27.2399999197465,5.0
14,14,23.008750095,76.77500024999999,451.223663525,0.0,0.0,13842.0,0.0,241345.9882,0.0,0.0,0.0,0.0,0.0,241345.9882,31.9348970660656,5.0
15,15,22.79666644,76.63208284000001,414.4791667,0.0,0.0,13073.0,0.0,255328.2261,0.0,0.0,0.0,0.0,0.0,255328.2261,33.9356050354811,5.0
16,16,23.030416719999998,78.44500020000001,410.57083332499997,0.22952276625,0.0,13073.0,0.0,256191.48,0.0,0.0,0.0,0.0,0.0,256191.48,45.5858775722093,5.0
17,17,23.490000379999998,79.60791692500001,446.6541667,0.0,0.0,13073.0,0.0,255458.1783,0.0,0.0,0.0,0.0,0.0,255458.1783,49.4693878895871,5.0
18,18,23.9445836025,80.637083215,424.91666664999997,0.59471368825,576.75,13842.0,0.0,255263.25,0.0,0.0,0.0,0.0,0.0,255263.25,62.737492314654,5.0
19,19,24.4154166025,81.184166365,385.0,0.0,0.0,13073.0,0.0,255585.0364,0.0,0.0,0.0,0.0,0.0,255585.0364,76.1728495858217,5.0
20,20,23.50750003,80.679999795,387.0708333,0.26339601375,0.0,13073.0,0.0,255603.601,0.0,0.0,0.0,0.0,0.0,255603.601,87.7396746092325,5.0
21,21,22.209583272499998,79.4341665675,407.79583335,2.633955383,0.0,13073.0,0.0,254953.83999999997,0.0,0.0,0.0,0.0,0.0,254953.83999999997,96.6579439956609,5.0
22,22,22.221249945,78.433708815,414.074166675,1.7575109125000001,0.0,13073.0,0.0,255139.486,0.0,0.0,0.0,0.0,0.0,255139.486,113.266231412292,5.0
23,23,22.2325658375,78.7029168425,405.423940675,1.474162839,0.0,13073.0,0.0,256005.834,0.0,0.0,0.0,0.0,0.0,256005.834,114.892808737437,5.0
24,24,22.217499975,78.14708312249999,398.637500025,0.57062285025,0.0,13073.0,0.0,255801.6234,0.0,0.0,0.0,0.0,0.0,255801.6234,124.121274798068,5.0
25,25,22.25624991,77.4845905925,378.84990392500004,0.441964079,0.0,13073.0,0.0,255263.24999999997,0.0,0.0,0.0,0.0,0.0,255263.24999999997,133.107838714702,5.0
26,26,22.235000015,78.2680700375,387.567099075,2.40143788775,0.0,13073.0,0.0,255337.5084,0.0,0.0,0.0,0.0,0.0,255337.5084,146.566896316797,5.0
27,27,22.1979168175,78.5866666825,400.633201075,1.73838933725,0.0,13073.0,0.0,256191.48,0.0,0.0,0.0,0.0,0.0,256191.48,150.635597803608,5.0
0,0,21.040000145,62.690416652500005,409.345833325,0.38824086125,0.0,13073.0,0.0,206998.38410000005,0.0,17395.2576,0.0,29860.623,0.0,254254.2647,2.10697053925826,6.0
1,1,21.0816666075,61.9766664825,412.86666665,0.38576811074999995,0.0,13073.0,0.0,206698.2564,0.0,17542.5348,0.0,29891.953,0.0,254132.74420000002,2.87961852317716,6.0
2,2,21.152916865,62.8100000225,384.1833333,0.38068258475,0.0,13073.0,0.0,206806.5499,0.0,17509.4388,0.0,29890.3865,0.0,254206.3752,3.17690379048938,6.0
3,3,21.5591668275,62.16000018,378.479166675,0.37682865325000003,0.0,13073.0,0.0,206784.8912,0.0,17519.3676,0.0,29927.9825,0.0,254232.2413,3.3863916458299,6.0
